Data,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo
outubro 2017,Receitas Imobiliárias,"1.714.360,00","1.714.360,00","608.037,55","35,47","1.882.464,83","109,81","-168.104,83",05,2017,2017-10-20
outubro 2017,Receitas de Valores Mobiliários,"37.977.640,00","37.977.640,00","5.472.200,68","14,41","19.251.252,22","50,69","18.726.387,78",05,2017,2017-10-20
outubro 2017,Receita de Concessões e Permissões,,,"38.163,88",,"133.648,30",,"-133.648,30",05,2017,2017-10-20
outubro 2017,Compensações Financeiras,,,,,,,,05,2017,2017-10-20
outubro 2017,"Receita Decorrente do Direito de Exploração de Bens Públicos em Áreas de
Domínio Público",,,,,,,,05,2017,2017-10-20
outubro 2017,Receita da Cessão de Direitos,,,,,,,,05,2017,2017-10-20
outubro 2017,Outras Receitas Patrimoniais,,,,,,,,05,2017,2017-10-20
outubro 2017,RECEITA AGROPECUÁRIA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",05,2017,2017-10-20
outubro 2017,Receita da Produção Vegetal,,,,,,,,05,2017,2017-10-20
outubro 2017,Receita da Produção Animal e Derivados,,,,,,,,05,2017,2017-10-20
outubro 2017,Outras Receitas Agropecuárias,,,,,,,,05,2017,2017-10-20
outubro 2017,RECEITA INDUSTRIAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",05,2017,2017-10-20
outubro 2017,Receita da Indústria Extrativa Mineral,,,,,,,,05,2017,2017-10-20
outubro 2017,Receita da Indústria de Transformação,,,,,,,,05,2017,2017-10-20
outubro 2017,Receita da Indústria de Construção,,,,,,,,05,2017,2017-10-20
outubro 2017,Outras Receitas Industriais,,,,,,,,05,2017,2017-10-20
outubro 2017,RECEITA DE SERVIÇOS,"223.113.874,00","223.113.874,00","37.908.050,06","16,99","145.648.168,19","65,28","77.465.705,81",05,2017,2017-10-20
outubro 2017,TRANSFERÊNCIAS CORRENTES,"767.500.200,00","767.500.200,00","116.155.673,62","15,13","498.684.841,54","64,98","268.815.358,46",05,2017,2017-10-20
outubro 2017,Transferências Intergovernamentais,"747.289.200,00","747.289.200,00","113.610.673,83","15,20","486.563.525,38","65,11","260.725.674,62",05,2017,2017-10-20
outubro 2017,Transferências de Instituições Privadas,,,,,,,,05,2017,2017-10-20
outubro 2017,Transferências do Exterior,,,,,,,,05,2017,2017-10-20
outubro 2017,Transferências de Pessoas,,,,,,,,05,2017,2017-10-20
outubro 2017,Transferências de Convênios,"20.211.000,00","20.211.000,00","2.544.999,79","12,59","12.121.316,16","59,97","8.089.683,84",05,2017,2017-10-20
outubro 2017,Transferências para o Combate à Fome,,,,,,,,05,2017,2017-10-20
outubro 2017,OUTRAS RECEITAS CORRENTES,"77.680.670,00","77.680.670,00","12.758.687,24","16,42","57.213.116,30","73,65","20.467.553,70",05,2017,2017-10-20
outubro 2017,Multas e Juros de Mora,"19.519.300,00","19.519.300,00","4.103.997,16","21,03","12.869.827,95","65,93","6.649.472,05",05,2017,2017-10-20
outubro 2017,Indenizações e Restituições,"2.211.000,00","2.211.000,00","768.731,26","34,77","3.389.850,28","153,32","-1.178.850,28",05,2017,2017-10-20
outubro 2017,Receita da Dívida Ativa,"47.803.750,00","47.803.750,00","6.844.511,60","14,32","23.245.712,14","48,63","24.558.037,86",05,2017,2017-10-20
outubro 2017,"Receitas Decorrentes de Aportes Periódicos para Amortização de Déficit Atuarial
do RPPS",,,,,,,,05,2017,2017-10-20
outubro 2017,Receitas Correntes Diversas,"8.146.620,00","8.146.620,00","1.041.447,22","12,78","17.707.725,93","217,36","-9.561.105,93",05,2017,2017-10-20
outubro 2017,RECEITAS DE CAPITAL,"44.739.035,00","44.739.035,00","10.024.148,52","22,41","29.897.334,23","66,83","14.841.700,77",05,2017,2017-10-20
outubro 2017,OPERAÇÕES DE CRÉDITO,"23.200.000,00","23.200.000,00","6.830.132,08","29,44","22.996.835,37","99,12","203.164,63",05,2017,2017-10-20
outubro 2017,Operações de Crédito Internas,"23.200.000,00","23.200.000,00","6.830.132,08","29,44","22.996.835,37","99,12","203.164,63",05,2017,2017-10-20
outubro 2017,Operações de Crédito Externas,,,,,,,,05,2017,2017-10-20
outubro 2017,ALIENAÇÃO DE BENS,"545.156,00","545.156,00","45.200,00","8,29","89.700,00","16,45","455.456,00",05,2017,2017-10-20
outubro 2017,Alienação de Bens Móveis,"545.156,00","545.156,00","45.200,00","8,29","89.700,00","16,45","455.456,00",05,2017,2017-10-20
outubro 2017,Alienação de Bens Imóveis,,,,,,,,05,2017,2017-10-20
outubro 2017,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,05,2017,2017-10-20
outubro 2017,TRANSFERÊNCIAS DE CAPITAL,"20.490.116,00","20.490.116,00","3.148.816,44","15,37","6.810.798,86","33,24","13.679.317,14",05,2017,2017-10-20
outubro 2017,Transferências Intergovernamentais,"1.400.000,00","1.400.000,00","101.429,16","7,24","226.624,30","16,19","1.173.375,70",05,2017,2017-10-20
outubro 2017,Transferências de Instituições Privadas,,,,,,,,05,2017,2017-10-20
outubro 2017,Transferências do Exterior,,,,,,,,05,2017,2017-10-20
outubro 2017,Transferências de Pessoas,,,,,,,,05,2017,2017-10-20
outubro 2017,Transferências de Outras Instituições Públicas,,,,,,,,05,2017,2017-10-20
outubro 2017,Transferências de Convênios,"19.090.116,00","19.090.116,00","3.047.387,28","15,96","6.584.174,56","34,49","12.505.941,44",05,2017,2017-10-20
outubro 2017,Transferências para o Combate à Fome,,,,,,,,05,2017,2017-10-20
outubro 2017,OUTRAS RECEITAS DE CAPITAL,"503.763,00","503.763,00","0,00","0,00","0,00","0,00","503.763,00",05,2017,2017-10-20
outubro 2017,Integralização do Capital Social,,,,,,,,05,2017,2017-10-20
outubro 2017,Dív. Atv. Prov. da Amortiz. de Emp. e Financ.,,,,,,,,05,2017,2017-10-20
outubro 2017,Receita Auferida por Detentores de Títulos do Tesouro Nacional Resgatados,,,,,,,,05,2017,2017-10-20
outubro 2017,"Receitas de Alienação de Certificados de Potencial Adicional de Construção -
CEPAC",,,,,,,,05,2017,2017-10-20
outubro 2017,Outras Receitas de Capital,"503.763,00","503.763,00","0,00","0,00","0,00","0,00","503.763,00",05,2017,2017-10-20
outubro 2017,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"36.082.000,00","36.082.000,00","5.496.773,68","15,23","22.014.205,93","61,01","14.067.794,07",05,2017,2017-10-20
outubro 2017,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.593.373.779,00","1.593.373.779,00","243.883.863,84","15,31","1.031.134.203,72","64,71","562.239.575,28",05,2017,2017-10-20
outubro 2017,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,"0,00",05,2017,2017-10-20
outubro 2017,Operações de Crédito Internas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",05,2017,2017-10-20
outubro 2017,Mobiliária,,,,,,,,05,2017,2017-10-20
outubro 2017,Contratual,,,,,,,,05,2017,2017-10-20
outubro 2017,Operações de Crédito Externas,"0,00","0,00","0,00","0,00","0,00","0,00",,05,2017,2017-10-20
outubro 2017,Mobiliária,,,,,,,,05,2017,2017-10-20
outubro 2017,Contratual,,,,,,,"0,00",05,2017,2017-10-20
outubro 2017,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.593.373.779,00","1.593.373.779,00","243.883.863,84","15,31","1.031.134.203,72","64,71","562.239.575,28",05,2017,2017-10-20
outubro 2017,DÉFICIT (VI),,,,,,,,05,2017,2017-10-20
outubro 2017,TOTAL (VII) = (V + VI),"1.593.373.779,00","1.593.373.779,00","243.883.863,84","15,31","1.031.134.203,72","64,71","562.239.575,28",05,2017,2017-10-20
outubro 2017,SALDOS DE EXERCÍCIOS ANTERIORES,,,,,,,,05,2017,2017-10-20
outubro 2017,Recursos Arrecadados em Exercícios Anteriores - RPPS,,,,,,,,05,2017,2017-10-20
outubro 2017,Superávit Financeiro Utilizado para Créditos Adicionais,,,,,,,,05,2017,2017-10-20
outubro 2017,Reabertura de Créditos Adicionais,,,,,,,,05,2017,2017-10-20
agosto 2017,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.557.291.779,00","1.557.291.779,00","238.387.090,16","15,31","1.009.119.997,79","64,80","548.171.781,21",04,2017,2017-08-20
agosto 2017,RECEITAS CORRENTES,"1.512.552.744,00","1.512.552.744,00","228.362.941,64","15,10","979.222.663,56","64,74","533.330.080,44",04,2017,2017-08-20
agosto 2017,RECEITA TRIBUTÁRIA,"386.525.000,00","386.525.000,00","52.674.865,90","13,63","245.418.582,55","63,49","141.106.417,45",04,2017,2017-08-20
agosto 2017,Impostos,"348.500.000,00","348.500.000,00","48.333.606,32","13,87","220.233.738,00","63,19","128.266.262,00",04,2017,2017-08-20
agosto 2017,Taxas,"35.525.000,00","35.525.000,00","4.171.431,05","11,74","24.471.502,59","68,89","11.053.497,41",04,2017,2017-08-20
agosto 2017,Contribuição de Melhoria,"2.500.000,00","2.500.000,00","169.828,53","6,79","713.341,96","28,53","1.786.658,04",04,2017,2017-08-20
agosto 2017,RECEITA DE CONTRIBUIÇÕES,"18.041.000,00","18.041.000,00","2.747.262,71","15,23","10.990.589,63","60,92","7.050.410,37",04,2017,2017-08-20
agosto 2017,Contribuições Sociais,"18.041.000,00","18.041.000,00","2.747.262,71","15,23","10.990.589,63","60,92","7.050.410,37",04,2017,2017-08-20
agosto 2017,Contribuição de Intervenção no Domínio Econômico,,,,,,,,04,2017,2017-08-20
agosto 2017,Contribuição para o Custeio do Serviço de Iluminação Pública,,,,,,,,04,2017,2017-08-20
agosto 2017,RECEITA PATRIMONIAL,"39.692.000,00","39.692.000,00","6.118.402,11","15,41","21.267.365,35","53,58","18.424.634,65",04,2017,2017-08-20
agosto 2017,Receitas Imobiliárias,"1.714.360,00","1.714.360,00","608.037,55","35,47","1.882.464,83","109,81","-168.104,83",04,2017,2017-08-20
agosto 2017,Receitas de Valores Mobiliários,"37.977.640,00","37.977.640,00","5.472.200,68","14,41","19.251.252,22","50,69","18.726.387,78",04,2017,2017-08-20
agosto 2017,Receita de Concessões e Permissões,,,"38.163,88",,"133.648,30",,"-133.648,30",04,2017,2017-08-20
agosto 2017,Compensações Financeiras,,,,,,,,04,2017,2017-08-20
agosto 2017,"Receita Decorrente do Direito de Exploração de Bens Públicos em Áreas de
Domínio Público",,,,,,,,04,2017,2017-08-20
agosto 2017,Receita da Cessão de Direitos,,,,,,,,04,2017,2017-08-20
agosto 2017,Outras Receitas Patrimoniais,,,,,,,,04,2017,2017-08-20
agosto 2017,RECEITA AGROPECUÁRIA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",04,2017,2017-08-20
agosto 2017,Receita da Produção Vegetal,,,,,,,,04,2017,2017-08-20
agosto 2017,Receita da Produção Animal e Derivados,,,,,,,,04,2017,2017-08-20
agosto 2017,Outras Receitas Agropecuárias,,,,,,,,04,2017,2017-08-20
agosto 2017,RECEITA INDUSTRIAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",04,2017,2017-08-20
agosto 2017,Receita da Indústria Extrativa Mineral,,,,,,,,04,2017,2017-08-20
agosto 2017,Receita da Indústria de Transformação,,,,,,,,04,2017,2017-08-20
agosto 2017,Receita da Indústria de Construção,,,,,,,,04,2017,2017-08-20
agosto 2017,Outras Receitas Industriais,,,,,,,,04,2017,2017-08-20
agosto 2017,RECEITA DE SERVIÇOS,"223.113.874,00","223.113.874,00","37.908.050,06","16,99","145.648.168,19","65,28","77.465.705,81",04,2017,2017-08-20
agosto 2017,TRANSFERÊNCIAS CORRENTES,"767.500.200,00","767.500.200,00","116.155.673,62","15,13","498.684.841,54","64,98","268.815.358,46",04,2017,2017-08-20
agosto 2017,Transferências Intergovernamentais,"747.289.200,00","747.289.200,00","113.610.673,83","15,20","486.563.525,38","65,11","260.725.674,62",04,2017,2017-08-20
agosto 2017,Transferências de Instituições Privadas,,,,,,,,04,2017,2017-08-20
agosto 2017,Transferências do Exterior,,,,,,,,04,2017,2017-08-20
agosto 2017,Transferências de Pessoas,,,,,,,,04,2017,2017-08-20
agosto 2017,Transferências de Convênios,"20.211.000,00","20.211.000,00","2.544.999,79","12,59","12.121.316,16","59,97","8.089.683,84",04,2017,2017-08-20
agosto 2017,Transferências para o Combate à Fome,,,,,,,,04,2017,2017-08-20
agosto 2017,OUTRAS RECEITAS CORRENTES,"77.680.670,00","77.680.670,00","12.758.687,24","16,42","57.213.116,30","73,65","20.467.553,70",04,2017,2017-08-20
agosto 2017,Multas e Juros de Mora,"19.519.300,00","19.519.300,00","4.103.997,16","21,03","12.869.827,95","65,93","6.649.472,05",04,2017,2017-08-20
agosto 2017,Indenizações e Restituições,"2.211.000,00","2.211.000,00","768.731,26","34,77","3.389.850,28","153,32","-1.178.850,28",04,2017,2017-08-20
agosto 2017,Receita da Dívida Ativa,"47.803.750,00","47.803.750,00","6.844.511,60","14,32","23.245.712,14","48,63","24.558.037,86",04,2017,2017-08-20
agosto 2017,"Receitas Decorrentes de Aportes Periódicos para Amortização de Déficit Atuarial
do RPPS",,,,,,,,04,2017,2017-08-20
agosto 2017,Receitas Correntes Diversas,"8.146.620,00","8.146.620,00","1.041.447,22","12,78","17.707.725,93","217,36","-9.561.105,93",04,2017,2017-08-20
agosto 2017,RECEITAS DE CAPITAL,"44.739.035,00","44.739.035,00","10.024.148,52","22,41","29.897.334,23","66,83","14.841.700,77",04,2017,2017-08-20
agosto 2017,OPERAÇÕES DE CRÉDITO,"23.200.000,00","23.200.000,00","6.830.132,08","29,44","22.996.835,37","99,12","203.164,63",04,2017,2017-08-20
agosto 2017,Operações de Crédito Internas,"23.200.000,00","23.200.000,00","6.830.132,08","29,44","22.996.835,37","99,12","203.164,63",04,2017,2017-08-20
agosto 2017,Operações de Crédito Externas,,,,,,,,04,2017,2017-08-20
agosto 2017,ALIENAÇÃO DE BENS,"545.156,00","545.156,00","45.200,00","8,29","89.700,00","16,45","455.456,00",04,2017,2017-08-20
agosto 2017,Alienação de Bens Móveis,"545.156,00","545.156,00","45.200,00","8,29","89.700,00","16,45","455.456,00",04,2017,2017-08-20
agosto 2017,Alienação de Bens Imóveis,,,,,,,,04,2017,2017-08-20
agosto 2017,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,04,2017,2017-08-20
agosto 2017,TRANSFERÊNCIAS DE CAPITAL,"20.490.116,00","20.490.116,00","3.148.816,44","15,37","6.810.798,86","33,24","13.679.317,14",04,2017,2017-08-20
agosto 2017,Transferências Intergovernamentais,"1.400.000,00","1.400.000,00","101.429,16","7,24","226.624,30","16,19","1.173.375,70",04,2017,2017-08-20
agosto 2017,Transferências de Instituições Privadas,,,,,,,,04,2017,2017-08-20
agosto 2017,Transferências do Exterior,,,,,,,,04,2017,2017-08-20
agosto 2017,Transferências de Pessoas,,,,,,,,04,2017,2017-08-20
agosto 2017,Transferências de Outras Instituições Públicas,,,,,,,,04,2017,2017-08-20
agosto 2017,Transferências de Convênios,"19.090.116,00","19.090.116,00","3.047.387,28","15,96","6.584.174,56","34,49","12.505.941,44",04,2017,2017-08-20
agosto 2017,Transferências para o Combate à Fome,,,,,,,,04,2017,2017-08-20
agosto 2017,OUTRAS RECEITAS DE CAPITAL,"503.763,00","503.763,00","0,00","0,00","0,00","0,00","503.763,00",04,2017,2017-08-20
agosto 2017,Integralização do Capital Social,,,,,,,,04,2017,2017-08-20
agosto 2017,Dív. Atv. Prov. da Amortiz. de Emp. e Financ.,,,,,,,,04,2017,2017-08-20
agosto 2017,Receita Auferida por Detentores de Títulos do Tesouro Nacional Resgatados,,,,,,,,04,2017,2017-08-20
agosto 2017,"Receitas de Alienação de Certificados de Potencial Adicional de Construção -
CEPAC",,,,,,,,04,2017,2017-08-20
agosto 2017,Outras Receitas de Capital,"503.763,00","503.763,00","0,00","0,00","0,00","0,00","503.763,00",04,2017,2017-08-20
agosto 2017,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"36.082.000,00","36.082.000,00","5.496.773,68","15,23","22.014.205,93","61,01","14.067.794,07",04,2017,2017-08-20
agosto 2017,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.593.373.779,00","1.593.373.779,00","243.883.863,84","15,31","1.031.134.203,72","64,71","562.239.575,28",04,2017,2017-08-20
agosto 2017,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,"0,00",04,2017,2017-08-20
agosto 2017,Operações de Crédito Internas,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",04,2017,2017-08-20
agosto 2017,Mobiliária,,,,,,,,04,2017,2017-08-20
agosto 2017,Contratual,,,,,,,,04,2017,2017-08-20
agosto 2017,Operações de Crédito Externas,"0,00","0,00","0,00","0,00","0,00","0,00",,04,2017,2017-08-20
agosto 2017,Mobiliária,,,,,,,,04,2017,2017-08-20
agosto 2017,Contratual,,,,,,,"0,00",04,2017,2017-08-20
agosto 2017,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.593.373.779,00","1.593.373.779,00","243.883.863,84","15,31","1.031.134.203,72","64,71","562.239.575,28",04,2017,2017-08-20
agosto 2017,DÉFICIT (VI),,,,,,,,04,2017,2017-08-20
agosto 2017,TOTAL (VII) = (V + VI),"1.593.373.779,00","1.593.373.779,00","243.883.863,84","15,31","1.031.134.203,72","64,71","562.239.575,28",04,2017,2017-08-20
agosto 2017,SALDOS DE EXERCÍCIOS ANTERIORES,,,,,,,,04,2017,2017-08-20
agosto 2017,Recursos Arrecadados em Exercícios Anteriores - RPPS,,,,,,,,04,2017,2017-08-20
agosto 2017,Superávit Financeiro Utilizado para Créditos Adicionais,,,,,,,,04,2017,2017-08-20
agosto 2017,Reabertura de Créditos Adicionais,,,,,,,,04,2017,2017-08-20
junho 2017,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.557.291.779,00","1.557.291.779,00","250.009.924,25","16,05","770.732.907,63","49,49","786.558.871,37",03,2017,2017-06-20
junho 2017,RECEITAS CORRENTES,"1.512.552.744,00","1.512.552.744,00","235.823.540,08","15,59","750.859.721,92","49,64","761.693.022,08",03,2017,2017-06-20
junho 2017,RECEITA TRIBUTÁRIA,"386.525.000,00","386.525.000,00","56.721.213,01","14,67","192.743.716,65","49,87","193.781.283,35",03,2017,2017-06-20
junho 2017,Impostos,"348.500.000,00","348.500.000,00","50.223.776,64","14,41","171.900.131,68","49,33","176.599.868,32",03,2017,2017-06-20
junho 2017,Taxas,"35.525.000,00","35.525.000,00","6.303.316,41","17,74","20.300.071,54","57,14","15.224.928,46",03,2017,2017-06-20
junho 2017,Contribuição de Melhoria,"2.500.000,00","2.500.000,00","194.119,96","7,76","543.513,43","21,74","1.956.486,57",03,2017,2017-06-20
junho 2017,RECEITA DE CONTRIBUIÇÕES,"18.041.000,00","18.041.000,00","2.777.226,25","15,39","8.243.326,92","45,69","9.797.673,08",03,2017,2017-06-20
junho 2017,Contribuições Sociais,"18.041.000,00","18.041.000,00","2.777.226,25","15,39","8.243.326,92","45,69","9.797.673,08",03,2017,2017-06-20
junho 2017,Contribuição de Intervenção no Domínio Econômico,,,,,,,,03,2017,2017-06-20
junho 2017,Contribuição para o Custeio do Serviço de Iluminação Pública,,,,,,,,03,2017,2017-06-20
junho 2017,RECEITA PATRIMONIAL,"39.692.000,00","39.692.000,00","4.382.413,13","11,04","15.148.963,24","38,17","24.543.036,76",03,2017,2017-06-20
junho 2017,Receitas Imobiliárias,"1.714.360,00","1.714.360,00","449.113,19","26,20","1.274.427,28","74,34","439.932,72",03,2017,2017-06-20
junho 2017,Receitas de Valores Mobiliários,"37.977.640,00","37.977.640,00","3.903.449,55","10,28","13.779.051,54","36,28","24.198.588,46",03,2017,2017-06-20
junho 2017,Receita de Concessões e Permissões,,,"29.850,39",,"95.484,42",,"-95.484,42",03,2017,2017-06-20
junho 2017,Compensações Financeiras,,,,,,,,03,2017,2017-06-20
junho 2017,"Receita Decorrente do Direito de Exploração de Bens Públicos em Áreas de
Domínio Público",,,,,,,,03,2017,2017-06-20
junho 2017,Receita da Cessão de Direitos,,,,,,,,03,2017,2017-06-20
junho 2017,Outras Receitas Patrimoniais,,,,,,,,03,2017,2017-06-20
junho 2017,RECEITA AGROPECUÁRIA,,,,,,,,03,2017,2017-06-20
junho 2017,Receita da Produção Vegetal,,,,,,,,03,2017,2017-06-20
junho 2017,Receita da Produção Animal e Derivados,,,,,,,,03,2017,2017-06-20
junho 2017,Outras Receitas Agropecuárias,,,,,,,,03,2017,2017-06-20
junho 2017,RECEITA INDUSTRIAL,,,,,,,,03,2017,2017-06-20
junho 2017,Receita da Indústria Extrativa Mineral,,,,,,,,03,2017,2017-06-20
junho 2017,Receita da Indústria de Transformação,,,,,,,,03,2017,2017-06-20
junho 2017,Receita da Indústria de Construção,,,,,,,,03,2017,2017-06-20
junho 2017,Outras Receitas Industriais,,,,,,,,03,2017,2017-06-20
junho 2017,RECEITA DE SERVIÇOS,"223.113.874,00","223.113.874,00","37.497.198,05","16,81","107.740.118,13","48,29","115.373.755,87",03,2017,2017-06-20
junho 2017,TRANSFERÊNCIAS CORRENTES,"767.500.200,00","767.500.200,00","123.851.783,11","16,14","382.529.167,92","49,84","384.971.032,08",03,2017,2017-06-20
junho 2017,Transferências Intergovernamentais,"747.289.200,00","747.289.200,00","119.610.113,66","16,01","372.952.851,55","49,91","374.336.348,45",03,2017,2017-06-20
junho 2017,Transferências de Instituições Privadas,,,,,,,,03,2017,2017-06-20
junho 2017,Transferências do Exterior,,,,,,,,03,2017,2017-06-20
junho 2017,Transferências de Pessoas,,,,,,,,03,2017,2017-06-20
junho 2017,Transferências de Convênios,"20.211.000,00","20.211.000,00","4.241.669,45","20,99","9.576.316,37","47,38","10.634.683,63",03,2017,2017-06-20
junho 2017,Transferências para o Combate à Fome,,,,,,,,03,2017,2017-06-20
junho 2017,OUTRAS RECEITAS CORRENTES,"77.680.670,00","77.680.670,00","10.593.706,53","13,64","44.454.429,06","57,23","33.226.240,94",03,2017,2017-06-20
junho 2017,Multas e Juros de Mora,"19.519.300,00","19.519.300,00","3.291.423,07","16,86","8.765.830,79","44,91","10.753.469,21",03,2017,2017-06-20
junho 2017,Indenizações e Restituições,"2.211.000,00","2.211.000,00","872.605,16","39,47","2.621.119,02","118,55","-410.119,02",03,2017,2017-06-20
junho 2017,Receita da Dívida Ativa,"47.803.750,00","47.803.750,00","5.670.514,47","11,86","16.401.200,54","34,31","31.402.549,46",03,2017,2017-06-20
junho 2017,"Receitas Decorrentes de Aportes Periódicos para Amortização de Déficit Atuarial
do RPPS",,,,,,,,03,2017,2017-06-20
junho 2017,Receitas Correntes Diversas,"8.146.620,00","8.146.620,00","759.163,83","9,32","16.666.278,71","204,58","-8.519.658,71",03,2017,2017-06-20
junho 2017,RECEITAS DE CAPITAL,"44.739.035,00","44.739.035,00","14.186.384,17","31,71","19.873.185,71","44,42","24.865.849,29",03,2017,2017-06-20
junho 2017,OPERAÇÕES DE CRÉDITO,"23.200.000,00","23.200.000,00","12.400.773,44","53,45","16.166.703,29","69,68","7.033.296,71",03,2017,2017-06-20
junho 2017,Operações de Crédito Internas,"23.200.000,00","23.200.000,00","12.400.773,44","53,45","16.166.703,29","69,68","7.033.296,71",03,2017,2017-06-20
junho 2017,Operações de Crédito Externas,,,,,,,,03,2017,2017-06-20
junho 2017,ALIENAÇÃO DE BENS,"545.156,00","545.156,00","44.500,00","8,16","44.500,00","8,16","500.656,00",03,2017,2017-06-20
junho 2017,Alienação de Bens Móveis,"545.156,00","545.156,00","44.500,00","8,16","44.500,00","8,16","500.656,00",03,2017,2017-06-20
junho 2017,Alienação de Bens Imóveis,,,,,,,"0,00",03,2017,2017-06-20
junho 2017,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,03,2017,2017-06-20
junho 2017,TRANSFERÊNCIAS DE CAPITAL,"20.490.116,00","20.490.116,00","1.741.110,73","8,50","3.661.982,42","17,87","16.828.133,58",03,2017,2017-06-20
junho 2017,Transferências Intergovernamentais,"1.400.000,00","1.400.000,00","76.765,68","5,48","125.195,14","8,94","1.274.804,86",03,2017,2017-06-20
junho 2017,Transferências de Instituições Privadas,,,,,,,,03,2017,2017-06-20
junho 2017,Transferências do Exterior,,,,,,,,03,2017,2017-06-20
junho 2017,Transferências de Pessoas,,,,,,,,03,2017,2017-06-20
junho 2017,Transferências de Outras Instituições Públicas,,,,,,,,03,2017,2017-06-20
junho 2017,Transferências de Convênios,"19.090.116,00","19.090.116,00","1.664.345,05","8,72","3.536.787,28","18,53","15.553.328,72",03,2017,2017-06-20
junho 2017,Transferências para o Combate à Fome,,,,,,,,03,2017,2017-06-20
junho 2017,OUTRAS RECEITAS DE CAPITAL,"503.763,00","503.763,00","0,00",,"0,00",,"503.763,00",03,2017,2017-06-20
junho 2017,Integralização do Capital Social,,,,,,,,03,2017,2017-06-20
junho 2017,Dív. Atv. Prov. da Amortiz. de Emp. e Financ.,,,,,,,,03,2017,2017-06-20
junho 2017,Receita Auferida por Detentores de Títulos do Tesouro Nacional Resgatados,,,,,,,,03,2017,2017-06-20
junho 2017,"Receitas de Alienação de Certificados de Potencial Adicional de Construção -
CEPAC",,,,,,,,03,2017,2017-06-20
junho 2017,Outras Receitas de Capital,"503.763,00","503.763,00",,,,,"503.763,00",03,2017,2017-06-20
junho 2017,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"36.082.000,00","36.082.000,00","5.567.364,56","15,43","16.517.432,25","45,78","19.564.567,75",03,2017,2017-06-20
junho 2017,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.593.373.779,00","1.593.373.779,00","255.577.288,81","16,04","787.250.339,88","49,41","806.123.439,12",03,2017,2017-06-20
junho 2017,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),,,,,,,,03,2017,2017-06-20
junho 2017,Operações de Crédito Internas,,,,,,,,03,2017,2017-06-20
junho 2017,Mobiliária,,,,,,,,03,2017,2017-06-20
junho 2017,Contratual,,,,,,,,03,2017,2017-06-20
junho 2017,Operações de Crédito Externas,,,,,,,,03,2017,2017-06-20
junho 2017,Mobiliária,,,,,,,,03,2017,2017-06-20
junho 2017,Contratual,,,,,,,,03,2017,2017-06-20
junho 2017,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.593.373.779,00","1.593.373.779,00","255.577.288,81","16,04","787.250.339,88","49,41","806.123.439,12",03,2017,2017-06-20
junho 2017,DÉFICIT (VI),,,,,,,,03,2017,2017-06-20
junho 2017,TOTAL (VII) = (V + VI),"1.593.373.779,00","1.593.373.779,00","255.577.288,81","16,04","787.250.339,88","49,41","806.123.439,12",03,2017,2017-06-20
junho 2017,SALDOS DE EXERCÍCIOS ANTERIORES,,,,,,,,03,2017,2017-06-20
junho 2017,Recursos Arrecadados em Exercícios Anteriores - RPPS,,,,,,,,03,2017,2017-06-20
junho 2017,Superávit Financeiro Utilizado para Créditos Adicionais,,,,,,,,03,2017,2017-06-20
junho 2017,Reabertura de Créditos Adicionais,,,,,,,,03,2017,2017-06-20
abril 2017,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.557.291.779,00","1.557.291.779,00","286.212.393,04","18,38","520.722.983,38","33,44","1.036.568.795,62",02,2017,2017-04-20
abril 2017,RECEITAS CORRENTES,"1.512.552.744,00","1.512.552.744,00","284.804.780,10","18,83","515.036.181,84","34,05","997.516.562,16",02,2017,2017-04-20
